"Activity" "Subject" "Measurement" "Value"
"laying" "1" "tBodyAcc-mean()-X" 0.22159824394
"sitting" "1" "tBodyAcc-mean()-X" 0.261237565425532
"standing" "1" "tBodyAcc-mean()-X" 0.278917629056604
"walking" "1" "tBodyAcc-mean()-X" 0.277330758736842
"walking_downstairs" "1" "tBodyAcc-mean()-X" 0.289188320408163
"walking_upstairs" "1" "tBodyAcc-mean()-X" 0.255461689622641
"laying" "2" "tBodyAcc-mean()-X" 0.281373403958333
"sitting" "2" "tBodyAcc-mean()-X" 0.27708735173913
"standing" "2" "tBodyAcc-mean()-X" 0.277911472222222
"walking" "2" "tBodyAcc-mean()-X" 0.276426586440678
"walking_downstairs" "2" "tBodyAcc-mean()-X" 0.27761534806383
"walking_upstairs" "2" "tBodyAcc-mean()-X" 0.247164790395833
"laying" "3" "tBodyAcc-mean()-X" 0.275516852741935
"sitting" "3" "tBodyAcc-mean()-X" 0.257197599134615
"standing" "3" "tBodyAcc-mean()-X" 0.280046513278689
"walking" "3" "tBodyAcc-mean()-X" 0.275567462068966
"walking_downstairs" "3" "tBodyAcc-mean()-X" 0.292423484693878
"walking_upstairs" "3" "tBodyAcc-mean()-X" 0.260819873067797
"laying" "4" "tBodyAcc-mean()-X" 0.263559214981481
"sitting" "4" "tBodyAcc-mean()-X" 0.27153827992
"standing" "4" "tBodyAcc-mean()-X" 0.280499745892857
"walking" "4" "tBodyAcc-mean()-X" 0.278582015166667
"walking_downstairs" "4" "tBodyAcc-mean()-X" 0.279965329555556
"walking_upstairs" "4" "tBodyAcc-mean()-X" 0.270876696730769
"laying" "5" "tBodyAcc-mean()-X" 0.278334325576923
"sitting" "5" "tBodyAcc-mean()-X" 0.273694139545455
"standing" "5" "tBodyAcc-mean()-X" 0.282544390892857
"walking" "5" "tBodyAcc-mean()-X" 0.27784234625
"walking_downstairs" "5" "tBodyAcc-mean()-X" 0.29354392712766
"walking_upstairs" "5" "tBodyAcc-mean()-X" 0.268459469914894
"laying" "6" "tBodyAcc-mean()-X" 0.248656520140351
"sitting" "6" "tBodyAcc-mean()-X" 0.276778487454545
"standing" "6" "tBodyAcc-mean()-X" 0.280346248596491
"walking" "6" "tBodyAcc-mean()-X" 0.283658868070175
"walking_downstairs" "6" "tBodyAcc-mean()-X" 0.277045258145833
"walking_upstairs" "6" "tBodyAcc-mean()-X" 0.268229355098039
"laying" "7" "tBodyAcc-mean()-X" 0.250176694038462
"sitting" "7" "tBodyAcc-mean()-X" 0.284674637291667
"standing" "7" "tBodyAcc-mean()-X" 0.282723539433962
"walking" "7" "tBodyAcc-mean()-X" 0.275592961754386
"walking_downstairs" "7" "tBodyAcc-mean()-X" 0.28030708
"walking_upstairs" "7" "tBodyAcc-mean()-X" 0.248706923078431
"laying" "8" "tBodyAcc-mean()-X" 0.261254282907407
"sitting" "8" "tBodyAcc-mean()-X" 0.267491472934783
"standing" "8" "tBodyAcc-mean()-X" 0.279620986111111
"walking" "8" "tBodyAcc-mean()-X" 0.27468631
"walking_downstairs" "8" "tBodyAcc-mean()-X" 0.283484089210526
"walking_upstairs" "8" "tBodyAcc-mean()-X" 0.258880152048781
"laying" "9" "tBodyAcc-mean()-X" 0.2591955368
"sitting" "9" "tBodyAcc-mean()-X" 0.24832674354
